time,title,source,url,overall_sentiment,overall_score,aapl_relevance,aapl_label,aapl_score
20251205T130824,"Intel Stock (INTC) Retreats After Apple-Rumor Rally: December 5, 2025 News, Forecasts and Outlook",ts2.tech,https://ts2.tech/en/intel-stock-intc-retreats-after-apple-rumor-rally-december-5-2025-news-forecasts-and-outlook/,Somewhat-Bullish,0.175997,0.720882,Somewhat-Bullish,0.335564
20251205T130557, Knollwood Investment Advisory LLC Grows Position in Fastenal Company $FAST,MarketBeat,https://www.marketbeat.com/instant-alerts/filing-knollwood-investment-advisory-llc-grows-position-in-fastenal-company-fast-2025-12-05/,Somewhat-Bullish,0.242765,0.601746,Somewhat-Bullish,0.231692
20251205T115016," After AI and design heads exit, Apple confirms two more senior leaders are leaving",The Indian Express,https://indianexpress.com/article/technology/tech-news-technology/apple-general-counsel-vp-environment-leaving-10403676/,Neutral,0.001,0.978324,Neutral,0.001
20251205T110914," Analyst recommendations: Humana, Newmont, Robert Half, Apple, Macy's…",marketscreener.com,https://www.marketscreener.com/news/analyst-recommendations-humana-newmont-robert-half-apple-macy-sa--ce7d51dcdd8df027,Neutral,0.102209,0.709019,Somewhat-Bullish,0.326535
20251205T030823, Why Warren Buffett Is Quietly Increasing His Stake in Alphabet,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/GOOG/pressreleases/36468018/why-warren-buffett-is-quietly-increasing-his-stake-in-alphabet/,Somewhat-Bullish,0.187644,0.714642,Neutral,0.001
20251205T011637,"CNBC Daily Open: Money, money, money, in Nvidia's world",CNBC,https://www.cnbc.com/2025/12/05/cnbc-daily-open-money-money-money-in-nvidias-world.html,Somewhat-Bullish,0.288928,0.716592,Neutral,0.001
20251205T001025," Newstead, Meta Platforms CLO, sells $333k in Meta stock",Investing.com,https://m.investing.com/news/insider-trading-news/newstead-meta-platforms-clo-sells-333k-in-meta-stock-93CH-4392397?ampMode=1,Neutral,0.068268,0.714833,Neutral,0.143686
20251205T000828,From reckoning to renewal: An interview with KKR’s Philipp Freise,McKinsey & Company,https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/from-reckoning-to-renewal-an-interview-with-kkrs-philipp-freise,Somewhat-Bullish,0.330016,0.598834,Somewhat-Bullish,0.261564
20251204T215024," Apple shuffles executive ranks again, as Adams and Jackson set to depart (AAPL:NASDAQ)",Seeking Alpha,https://seekingalpha.com/news/4528722-apple-shuffles-executive-ranks-again-as-adams-and-jackson-set-to-depart,Neutral,0.001,0.950693,Neutral,0.001
20251204T214300, Apple announces departure of general counsel and policy chief,CNBC,https://www.cnbc.com/2025/12/04/apple-announces-departure-lisa-jackson-kate-adams.html,Neutral,0.001,0.980464,Neutral,0.001
20251204T210810," Meta Tried Poaching Talent Largely Unsuccessfully, Says OpenAI Exec: 'Zuck Actually Went And Hand Delivered Soup To People He Was Trying To Recruit'",Sahm,https://www.sahmcapital.com/news/content/meta-tried-poaching-talent-largely-unsuccessfully-says-openai-exec-zuck-actually-went-and-hand-delivered-soup-to-people-he-was-trying-to-recruit-2025-12-03,Neutral,0.082967,0.629789,Neutral,0.047447
20251204T190839," Nvidia, other tech giants grilled over money for Trump's ballroom",Quartz,https://qz.com/trump-ballroom-nvidia-meta-apple-microsoft-amazon,Neutral,0.001,0.715302,Neutral,0.001
20251204T160927,"Apple, Tesla accused of profiting from abuses, environment destruction",The Detroit News,https://www.detroitnews.com/story/business/autos/2025/12/04/apple-tesla-accused-of-profiting-from-abuses-environment-destruction/87603654007/,Neutral,0.001,0.986582,Neutral,0.001
20251204T144300," BTIG thinks Apple stock is poised to drop, PepsiCo nears settlement",Yahoo Finance,https://finance.yahoo.com/video/btig-thinks-apple-stock-poised-204301445.html,Neutral,0.043534,0.902903,Neutral,0.001
20251204T141500,Chubb Limited (CB): A Bull Case Theory,Insider Monkey,https://www.insidermonkey.com/blog/chubb-limited-cb-a-bull-case-theory-4-1642149/,Somewhat-Bullish,0.187077,0.646539,Neutral,0.111558
20251204T140846," Intel Stock Near 52‑Week High as Apple Chip Rumors, Malaysia Expansion and NEX Pivot Redefine the 2025 Story",ts2.tech,https://ts2.tech/en/intel-stock-near-52%E2%80%91week-high-as-apple-chip-rumors-malaysia-expansion-and-nex-pivot-redefine-the-2025-story/,Neutral,0.117624,0.849175,Somewhat-Bullish,0.230352
20251204T130819,Corning Stock Rises 75.9% YTD: How to Play the Stock?,TradingView,https://www.tradingview.com/news/zacks:2ddb466a4094b:0-corning-stock-rises-75-9-ytd-how-to-play-the-stock/,Bullish,0.424605,0.743279,Somewhat-Bullish,0.327985
20251204T095127,"Edgestream Partners L.P. Takes $4.10 Million Position in Skyworks Solutions, Inc. $SWKS",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-edgestream-partners-lp-takes-410-million-position-in-skyworks-solutions-inc-swks-2025-12-04/,Somewhat-Bullish,0.162236,0.747835,Neutral,0.120803
20251204T081035, Apple design executive Alan Dye poached by Meta in major coup,The Star,https://www.thestar.com.my/tech/tech-news/2025/12/04/apple-design-executive-alan-dye-poached-by-meta-in-major-coup,Neutral,0.045628,0.963141,Neutral,0.001
20251204T080748, Apple (AAPL) Price Target Raised as Loop Capital Sees Stronger iPhone 17 Demand,Yahoo Finance,https://finance.yahoo.com/news/apple-aapl-price-target-raised-091551372.html,Bullish,0.438946,0.975801,Bullish,0.402596
20251203T232100,"Intel (INTC) Stock Surges on Apple Chip Rumors and $208M Malaysia Expansion: 2025 Rally, Analyst Forecasts and What’s Next",ts2.tech,https://ts2.tech/en/intel-intc-stock-surges-on-apple-chip-rumors-and-208m-malaysia-expansion-2025-rally-analyst-forecasts-and-whats-next/,Somewhat-Bullish,0.280994,0.743073,Somewhat-Bullish,0.34954
20251203T210900,Apple Design Executive Alan Dye Poached by Meta in Major Coup,Yahoo Finance,https://finance.yahoo.com/news/apple-design-executive-alan-dye-194127030.html,Neutral,0.037588,0.901004,Neutral,0.001
20251203T205600,Intel: More Potential Ahead With New Likely Partnerships For Contract Chipmaking Business,Seeking Alpha,https://seekingalpha.com/article/4850074-intel-stock-potential-ahead-new-likely-partnerships-contract-chipmaking-business,Somewhat-Bullish,0.176491,0.717715,Neutral,0.111725
20251203T173525,"Qualcomm Snapdragon 8 Gen 5: 36% Faster Than Apple, AI-Enhanced for Mid-Range Androids",WebProNews,https://www.webpronews.com/qualcomm-snapdragon-8-gen-5-36-faster-than-apple-ai-enhanced-for-mid-range-androids/,Neutral,0.131447,0.935482,Neutral,0.001
20251203T154300,Intel (INTC) Hits New Record on Apple Deal Hype,Yahoo Finance,https://finance.yahoo.com/news/intel-intc-hits-record-apple-154339299.html,Somewhat-Bullish,0.317819,0.902867,Somewhat-Bullish,0.326041
20251203T153703,"Google Stock (Alphabet GOOGL) Today, December 3, 2025: AI Chips, Gemini 3 and New $375 Price Targets",ts2.tech,https://ts2.tech/en/google-stock-alphabet-googl-today-december-3-2025-ai-chips-gemini-3-and-new-375-price-targets/,Somewhat-Bullish,0.335774,0.580462,Somewhat-Bullish,0.209479
20251203T150800,"The Zacks Analyst Blog Highlights Apple, Tesla, Micron Technology, Hamilton Beach Brands and Key Tronic",Yahoo Finance,https://finance.yahoo.com/news/zacks-analyst-blog-highlights-apple-150800093.html,Somewhat-Bullish,0.197369,0.911029,Somewhat-Bullish,0.300907
20251203T144600,Microsoft Stock Falls After Software Giant Reportedly Revises AI Sales Targets As Growth Falls Short Of Expectation,Stocktwits,https://stocktwits.com/news-articles/markets/equity/microsoft-stock-falls-after-software-giant-reportedly-revises-ai-sales-targets-as-growth-falls-short-of-expectation/cLIXtBYRE1l,Neutral,0.001,0.623928,Somewhat-Bullish,0.331054
20251203T142300,Guarantor: JPMorgan Chase & Co.,StreetInsider,https://www.streetinsider.com/SEC+Filings/Form+424B2+JPMORGAN+CHASE+%26amp%3B+CO/25693361.html,Neutral,0.068466,0.622126,Neutral,0.04764
20251203T135212,Intel (INTC) Stock Soars on Apple Chip Rumors and $208M Malaysia Expansion,ts2.tech,https://ts2.tech/en/intel-intc-stock-soars-on-apple-chip-rumors-and-208m-malaysia-expansion/,Somewhat-Bullish,0.265583,0.737443,Somewhat-Bullish,0.309586
20251203T124015,"Turnberry, Simon Buy Miami Retail Asset for $131M",Commercial Search,https://www.commercialsearch.com/news/turnberry-simon-buy-miami-retail-asset-for-131m/,Somewhat-Bullish,0.218597,0.600129,Neutral,0.112019
20251203T111653,"Skyworks Solutions, Inc. $SWKS Shares Sold by Korea Investment CORP",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-skyworks-solutions-inc-swks-shares-sold-by-korea-investment-corp-2025-12-03/,Somewhat-Bullish,0.210076,0.711858,Somewhat-Bullish,0.330715
20251203T093817,Apple Inc. $AAPL Shares Acquired by Everest Management Corp.,MarketBeat,https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-shares-acquired-by-everest-management-corp-2025-12-03/,Neutral,0.095488,0.981417,Somewhat-Bullish,0.257059
20251203T082440,"American Century Companies Inc. Grows Stock Position in Skyworks Solutions, Inc. $SWKS",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-american-century-companies-inc-grows-stock-position-in-skyworks-solutions-inc-swks-2025-12-03/,Somewhat-Bullish,0.203326,0.647105,Neutral,0.137176
20251203T065139,Apple Inc. (AAPL) Analysts Update Coverage,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/AAPL/pressreleases/36423077/apple-inc-aapl-analysts-update-coverage/,Bullish,0.429891,0.985151,Bullish,0.424437
20251202T233556,Apple (AAPL) Appoints Microsoft Veteran Amar Subramanya as AI Chief,TipRanks,https://www.tipranks.com/news/apple-aapl-hands-ai-wheel-to-microsoft-veteran-amar-subramanya-after-giannandrea-exits,Neutral,0.096382,0.956347,Somewhat-Bullish,0.28876
20251202T230805,"Nike, Apple, Amazon And An Airline Stock: CNBC's 'Final Trades'",Sahm,https://www.sahmcapital.com/news/content/nike-apple-amazon-and-an-airline-stock-cnbcs-final-trades-2025-12-02,Bullish,0.423617,0.945819,Bullish,0.435943
20251202T212555,"Top Research Reports for Apple, Tesla & Micron Technology",TradingView,https://www.tradingview.com/news/zacks:4f27851e8094b:0-top-research-reports-for-apple-tesla-micron-technology/,Somewhat-Bullish,0.230731,0.916312,Somewhat-Bullish,0.303482
20251202T210632,"All 30 Dow Jones Stocks Ranked: Buy, Sell or Hold?",Kiplinger,https://www.kiplinger.com/investing/stocks/blue-chip-stocks/602319/all-30-dow-jones-stocks-ranked-the-pros-weigh-in,Bullish,0.549996,0.717877,Bullish,0.418478
20251202T200549,Apple Just Parted Ways With Its Head of AI Over a Key Feature That Still Frustrates Users,Inc.com,https://www.inc.com/ben-sherry/apple-just-parted-ways-with-its-head-of-ai-over-a-key-feature-that-still-frustrates-users/91273006,Neutral,0.001,0.977644,Neutral,0.001
20251202T195111,Apple’s AI chief paid the price for the company’s stalled progress,Fast Company,https://www.fastcompany.com/91452240/apple-ai-chief-john-giannandrea-dismissed-google-ai,Somewhat-Bullish,0.279282,0.984663,Somewhat-Bullish,0.256096
20251202T183641,INTC: Intel Shares Slide as Apple Bonanza Talk Faces Reality Check,TradingView,https://www.tradingview.com/news/gurufocus:88cd0a71f094b:0-intc-intel-shares-slide-as-apple-bonanza-talk-faces-reality-check/,Neutral,0.001,0.725846,Neutral,0.103367
20251202T182900,Wall Street's Sleeping Giant: Is Amazon About to Wake Up?,Finviz,https://finviz.com/news/243748/wall-streets-sleeping-giant-is-amazon-about-to-wake-up,Somewhat-Bullish,0.246108,0.731886,Neutral,0.13315
20251202T182000,"KLA, IBD Stock Of The Day, Flashes Buy Signal Amid AI Demand",Investor's Business Daily,https://www.investors.com/research/ibd-stock-of-the-day/kla-stock-buy-signal-ai-chip-demand/,Somewhat-Bullish,0.273471,0.739083,Somewhat-Bullish,0.214179
20251202T165335,Peter Thiel Sells All His Nvidia Shares and Buys Microsoft and Apple Instead,24/7 Wall St.,https://247wallst.com/investing/2025/12/02/peter-thiel-sells-all-his-nvidia-shares-and-buys-microsoft-and-apple-instead/,Somewhat-Bullish,0.311276,0.893272,Bullish,0.409047
20251202T165222,"Walmart credits AI, fast delivery for strong Black Friday-Cyber Monday",Chain Store Age,https://chainstoreage.com/walmart-credits-ai-fast-delivery-strong-black-friday-cyber-monday,Somewhat-Bullish,0.332621,0.735594,Somewhat-Bullish,0.30367
20251202T164734,"Apple names Microsoft, Google veteran Amar Subramanya as AI chief",The American Bazaar,https://americanbazaaronline.com/2025/12/02/apple-names-microsoft-google-veteran-amar-subramanya-as-ai-chief-470880/,Somewhat-Bullish,0.265449,0.975699,Somewhat-Bullish,0.339763
20251202T160300,Apple continues gain for seven straight sessions (AAPL:NASDAQ),Seeking Alpha,https://seekingalpha.com/news/4527795-apple-continues-gain-for-seven-straight-sessions,Bullish,0.413224,0.978016,Bullish,0.43262
20251202T153400,"Buffett Bought Alphabet After I Named It My Top Tech Stock (GOOG, BRK.B)",Yahoo Finance,https://finance.yahoo.com/news/buffett-bought-alphabet-named-top-153433927.html,Bullish,0.608731,0.645909,Somewhat-Bullish,0.304069
20251202T150644,"Intel Stock (INTC) on December 2, 2025: Apple Foundry Buzz, Malaysia Expansion and Q3 Rebound Fuel a High‑Stakes Rally",ts2.tech,https://ts2.tech/en/intel-stock-intc-on-december-2-2025-apple-foundry-buzz-malaysia-expansion-and-q3-rebound-fuel-a-high%E2%80%91stakes-rally/,Somewhat-Bullish,0.186498,0.781711,Somewhat-Bullish,0.289052
20251202T133618,Apple Inc. $AAPL is UNIVEST FINANCIAL Corp's 4th Largest Position,MarketBeat,https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-is-univest-financial-corps-4th-largest-position-2025-12-02/,Neutral,0.042207,0.983316,Somewhat-Bullish,0.347836
20251202T113308,"3,347,921 Shares in Agilent Technologies, Inc. $A Acquired by Norges Bank",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-3347921-shares-in-agilent-technologies-inc-a-acquired-by-norges-bank-2025-12-01/,Somewhat-Bullish,0.180931,0.589257,Neutral,0.104403
20251202T110503,"Quadrant Capital Group LLC Has $991,000 Stock Position in VeriSign, Inc. $VRSN",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-quadrant-capital-group-llc-has-991000-stock-position-in-verisign-inc-vrsn-2025-12-01/,Neutral,0.129141,0.607919,Neutral,0.037042
20251202T102100,"Meet Amar Subramanya, the 46-year-old Google and Microsoft veteran who will steer Apple AI strategy",Fortune,https://fortune.com/2025/12/02/amar-subramanya-apple-ai-veteran-google-microsoft-career-research-education-machine-learning/,Somewhat-Bullish,0.195404,0.985974,Somewhat-Bullish,0.339286
20251202T095222,"Walmart Supercharges Holiday Traditions with Biggest, Fastest Black Friday and Cyber Monday Yet",Walmart,https://corporate.walmart.com/news/2025/12/02/walmart-supercharges-holiday-traditions-with-biggest-fastest-black-friday-and-cyber-monday-yet,Bullish,0.374745,0.708578,Somewhat-Bullish,0.321265
20251202T095215,"Who is Amar Subramanya, Apple’s new VP of AI poached from Microsoft?",Capacity Media,https://capacityglobal.com/news/apple-ai-microsoft-new-hire-amar-subramanya/,Somewhat-Bullish,0.232842,0.976662,Bullish,0.437437
20251202T095100,"From hey Siri to hey Subbu? Apple hires Amar Subramanya, taking a bite out of Google via Microsoft",Times of India,https://timesofindia.indiatimes.com/business/international-business/from-hey-siri-to-hey-subbu-apple-hires-amar-subramanya-taking-a-bite-out-of-google-via-microsoft/articleshow/125709125.cms,Somewhat-Bullish,0.180393,0.976282,Somewhat-Bullish,0.231456
20251202T092800,Apple Faces Class Action Threats After Defeat at Top EU Court,Bloomberg.com,https://www.bloomberg.com/news/articles/2025-12-02/apple-faces-class-action-threats-after-defeat-at-top-eu-court,Neutral,0.001,0.989825,Neutral,0.001
20251202T082758,"Arrowstreet Capital Limited Partnership Has $412.29 Million Position in VeriSign, Inc. $VRSN",MarketBeat,https://www.marketbeat.com/instant-alerts/filing-arrowstreet-capital-limited-partnership-has-41229-million-position-in-verisign-inc-vrsn-2025-12-02/,Neutral,0.104308,0.576265,Neutral,0.001
20251202T051800,Apple mulls resisting India order to preload state-run cyber safety app: report,Seeking Alpha,https://seekingalpha.com/news/4527477-apple-mulls-resisting-india-order-to-preload-state-run-cyber-safety-app,Neutral,0.001,0.981619,Neutral,0.001
20251202T020000," Walmart Supercharges Holiday Traditions with Biggest, Fastest Black Friday and Cyber Monday Yet",Yahoo Finance,https://finance.yahoo.com/news/walmart-supercharges-holiday-traditions-biggest-100000741.html,Somewhat-Bullish,0.341938,0.710864,Somewhat-Bullish,0.347957
20251202T014400,Who is Amar Subramanya? Indian-origin AI researcher Apple has appointed as AI chief,The Indian Express,https://indianexpress.com/article/world/who-is-amar-subramanya-indian-origin-ai-researcher-apple-appointed-ai-chief-10397572/,Somewhat-Bullish,0.294758,0.971364,Bullish,0.436506
20251201T235400, How Is Williams Companies’ Stock Performance Compared to Other Oil & Gas Stocks?,Yahoo Finance,https://finance.yahoo.com/news/williams-companies-stock-performance-compared-055414456.html,Neutral,0.097202,0.578491,Somewhat-Bullish,0.239972
20251201T232300,Apple's AI chief abruptly steps down,NBC News,https://www.nbcnews.com/business/business-news/apples-ai-chief-abruptly-steps-rcna246877,Neutral,0.041329,0.97182,Neutral,0.001
20251201T215226,"Intel Stock After the Bell (Dec. 1, 2025): Apple Foundry Buzz Keeps INTC Near $40 as Legal Risks Grow",ts2.tech,https://ts2.tech/en/intel-stock-after-the-bell-dec-1-2025-apple-foundry-buzz-keeps-intc-near-40-as-legal-risks-grow/,Somewhat-Bullish,0.169286,0.885559,Somewhat-Bullish,0.211741
20251201T212900,"Apple names former Microsoft, Google executive to replace current AI chief",SiliconANGLE,https://siliconangle.com/2025/12/01/apple-names-former-microsoft-google-executive-replace-current-ai-chief/,Neutral,0.039667,0.973174,Neutral,0.046351
