Date,NB_Article_Count,NB_Positive_Count,NB_Negative_Count,NB_Neutral_Count,NB_Positive_Ratio,NB_Negative_Ratio,NB_Neutral_Ratio,NB_Net_Sentiment,NB_Net_Sentiment_Ratio,NB_negative_Mean_Proba,NB_neutral_Mean_Proba,NB_positive_Mean_Proba
1999-09-01,1,1,0,0,1.0,0.0,0.0,1,1.0,0.008691024709789073,0.2633426656891241,0.7279663096010863
1999-09-28,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0014752798847249826,0.11254043859681741,0.8859842815184577
1999-10-06,1,1,0,0,1.0,0.0,0.0,1,1.0,0.013354868457251047,0.3696315409690903,0.6170135905736585
1999-11-02,1,1,0,0,1.0,0.0,0.0,1,1.0,0.01295652187442242,0.27172236225584884,0.7153211158697271
1999-11-09,1,1,0,0,1.0,0.0,0.0,1,1.0,0.007063844865870364,0.18012173424623198,0.8128144208878969
1999-11-29,1,1,0,0,1.0,0.0,0.0,1,1.0,0.002587114886808516,0.061765344421641735,0.935647540691549
1999-12-07,1,0,0,1,0.0,0.0,1.0,0,0.0,0.00730441548282445,0.4981264070643244,0.4945691774528506
1999-12-29,1,1,0,0,1.0,0.0,0.0,1,1.0,0.001109209633879396,0.045560279891065536,0.9533305104750542
2000-01-10,1,1,0,0,1.0,0.0,0.0,1,1.0,0.002219743600106359,0.08985584108045502,0.9079244153194374
2000-01-12,1,1,0,0,1.0,0.0,0.0,1,1.0,0.007439338659366976,0.32021119701708406,0.6723494643235485
2000-01-14,1,1,0,0,1.0,0.0,0.0,1,1.0,0.006900826835738185,0.16152764743682255,0.8315715257274403
2000-01-20,1,1,0,0,1.0,0.0,0.0,1,1.0,0.002928800796571653,0.07551045814049263,0.921560741062935
2000-04-17,1,1,0,0,1.0,0.0,0.0,1,1.0,0.004456361384949265,0.0393366805892959,0.9562069580257545
2000-04-21,1,1,0,0,1.0,0.0,0.0,1,1.0,0.002812651314250594,0.07647899983699595,0.920708348848754
2000-06-13,1,1,0,0,1.0,0.0,0.0,1,1.0,0.012019398534331408,0.27463646134581543,0.7133441401198525
2000-08-07,1,1,0,0,1.0,0.0,0.0,1,1.0,0.008022066059744051,0.11974593366526337,0.872232000274993
2000-09-13,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0031250977536442727,0.10714354427455351,0.8897313579718023
2000-12-07,1,1,0,0,1.0,0.0,0.0,1,1.0,0.011421823465354811,0.31763249750529404,0.6709456790293504
2000-12-09,1,1,0,0,1.0,0.0,0.0,1,1.0,0.003990925331245757,0.017912828728276434,0.9780962459404781
2000-12-15,2,2,0,0,1.0,0.0,0.0,2,1.0,0.014106400941442386,0.20374656095302474,0.7821470381055332
2001-01-03,1,1,0,0,1.0,0.0,0.0,1,1.0,0.00019998494907839565,0.11809740107713342,0.8817026139737868
2001-01-04,1,1,0,0,1.0,0.0,0.0,1,1.0,9.684850170993547e-05,0.035864837193409854,0.964038314304882
2001-01-05,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0001490327624198107,0.07014879915646278,0.929702168081114
2001-01-08,1,1,0,0,1.0,0.0,0.0,1,1.0,0.01113713372295495,0.12389770135377248,0.8649651649232719
2001-01-12,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0033941401779548543,0.06791465859164345,0.9286912012304026
2001-01-15,1,1,0,0,1.0,0.0,0.0,1,1.0,0.00161998446498091,0.03881359983219171,0.9595664157028269
2001-01-18,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0003156845671544918,0.016719545460238832,0.9829647699726074
2001-02-10,1,1,0,0,1.0,0.0,0.0,1,1.0,0.00569442535956538,0.03957774514008996,0.9547278295003454
2001-03-16,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0008191081441719507,0.036317760990033435,0.9628631308657922
2001-04-16,2,2,0,0,1.0,0.0,0.0,2,1.0,0.008393999510073667,0.22367641571538183,0.767929584774545
2001-04-25,1,1,0,0,1.0,0.0,0.0,1,1.0,0.011277620220918811,0.4702791795670263,0.5184432002120546
2001-08-07,1,1,0,0,1.0,0.0,0.0,1,1.0,0.006639142633719742,0.20377697284268406,0.7895838845235974
2001-08-27,1,1,0,0,1.0,0.0,0.0,1,1.0,0.010107019572022457,0.39018364216115387,0.5997093382668243
2001-08-31,2,2,0,0,1.0,0.0,0.0,2,1.0,0.00666949841605532,0.267778362474947,0.7255521391089969
2001-09-26,1,1,0,0,1.0,0.0,0.0,1,1.0,0.006012930911049416,0.2563816365160572,0.7376054325728933
2001-10-24,1,1,0,0,1.0,0.0,0.0,1,1.0,0.006793534474541166,0.34272466513520866,0.6504818003902503
2001-12-03,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0011222025528959266,0.035582146907242186,0.9632956505398604
2002-01-08,1,1,0,0,1.0,0.0,0.0,1,1.0,0.009363674522418047,0.31418145485032506,0.6764548706272578
2002-01-11,1,1,0,0,1.0,0.0,0.0,1,1.0,0.006103336086721642,0.14883337506223718,0.8450632888510412
2002-02-05,1,1,0,0,1.0,0.0,0.0,1,1.0,0.010781883426768375,0.16831365201393347,0.8209044645592968
2002-05-14,1,1,0,0,1.0,0.0,0.0,1,1.0,0.005932569116281926,0.21557179794993273,0.7784956329337863
2002-06-19,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0009832144236105085,0.00995088863104484,0.9890658969453456
2002-09-19,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0031318429598913,0.10120768166124403,0.8956604753788653
2002-12-28,1,1,0,0,1.0,0.0,0.0,1,1.0,0.009044718889268779,0.11706301254355171,0.8738922685671788
2003-01-14,1,0,0,1,0.0,0.0,1.0,0,0.0,0.004599388523948491,0.5029077108159637,0.4924929006600894
2003-01-20,1,1,0,0,1.0,0.0,0.0,1,1.0,0.004930133202048654,0.1125981255984349,0.8824717411995151
2003-02-06,1,1,0,0,1.0,0.0,0.0,1,1.0,0.007994171255652039,0.2433758616906837,0.7486299670536635
2003-03-20,1,0,0,1,0.0,0.0,1.0,0,0.0,0.01876281585670486,0.6043193365359895,0.376917847607307
2003-04-02,1,1,0,0,1.0,0.0,0.0,1,1.0,0.008170167314582,0.2990819178983737,0.692747914787045
2003-04-29,1,0,0,1,0.0,0.0,1.0,0,0.0,0.004885614100450061,0.5025682180580623,0.4925461678414892
2003-05-06,1,0,0,1,0.0,0.0,1.0,0,0.0,0.006239965578142736,0.8856938172577585,0.10806621716409778
2003-05-28,1,1,0,0,1.0,0.0,0.0,1,1.0,0.006202000419699832,0.3923913622812562,0.601406637299043
2003-06-03,1,0,0,1,0.0,0.0,1.0,0,0.0,0.008137927716067328,0.5147058001481577,0.4771562721357753
2003-06-24,1,0,0,1,0.0,0.0,1.0,0,0.0,0.009639658774474688,0.6447721777982793,0.34558816342724463
2003-08-14,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0029683309328476077,0.27922087671355167,0.7178107923536006
2003-09-14,1,1,0,0,1.0,0.0,0.0,1,1.0,0.007429815877443709,0.42633678515422924,0.5662333989683258
2003-09-16,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0050845815430684725,0.077232401472503,0.9176830169844284
2003-10-09,1,1,0,0,1.0,0.0,0.0,1,1.0,0.0034737271417082886,0.38724267629356796,0.6092835965647223
2003-10-29,1,1,0,0,1.0,0.0,0.0,1,1.0,0.002877013653204889,0.38480462319436454,0.6123183631524309
2003-11-05,1,0,0,1,0.0,0.0,1.0,0,0.0,0.00829203418178735,0.752719596944322,0.23898836887389183
