expirationDate,optionType,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
2025-12-12,call,AAPL251212C00120000,2025-11-14 19:27:23+00:00,120.0,154.48,155.65,158.55,0.0,0.0,1.0,1,4.562504296875,True,REGULAR,USD
2025-12-12,call,AAPL251212C00150000,2025-12-08 15:45:43+00:00,150.0,127.5,125.7,128.55,0.0,0.0,1.0,2,3.469727888183594,True,REGULAR,USD
2025-12-12,call,AAPL251212C00155000,2025-11-28 17:50:00+00:00,155.0,123.05,120.6,123.55,0.0,0.0,1.0,1,3.308595478515625,True,REGULAR,USD
2025-12-12,call,AAPL251212C00160000,2025-12-09 17:37:02+00:00,160.0,118.22,116.5,117.9,-0.7799988,-0.65546113,2.0,3,1.7968760156249999,True,REGULAR,USD
2025-12-12,call,AAPL251212C00170000,2025-12-04 14:43:58+00:00,170.0,113.23,105.75,108.6,0.0,0.0,2.0,3,2.874026252441406,True,REGULAR,USD
2025-12-12,call,AAPL251212C00180000,2025-12-09 15:16:30+00:00,180.0,97.82,96.55,97.95,-8.470001,-7.9687657,2.0,2,1.6328143359374998,True,REGULAR,USD
2025-12-12,call,AAPL251212C00185000,2025-12-09 15:16:39+00:00,185.0,92.53,91.6,92.95,-8.32,-8.249876,2.0,4,1.5937520312499998,True,REGULAR,USD
2025-12-12,call,AAPL251212C00190000,2025-12-05 16:36:21+00:00,190.0,88.97,85.7,88.6,0.0,0.0,1.0,2,2.3154338989257806,True,REGULAR,USD
2025-12-12,call,AAPL251212C00195000,2025-12-04 16:12:38+00:00,195.0,87.35,80.9,83.2,0.0,0.0,2.0,5,2.036626002197266,True,REGULAR,USD
2025-12-12,call,AAPL251212C00200000,2025-12-09 15:05:59+00:00,200.0,78.0,76.8,78.15,0.58000183,0.7491628,2.0,85,1.53515857421875,True,REGULAR,USD
2025-12-12,call,AAPL251212C00205000,2025-12-09 17:12:55+00:00,205.0,72.91,71.95,73.35,-1.6399994,-2.1998649,1.0,11,1.5478538232421872,True,REGULAR,USD
2025-12-12,call,AAPL251212C00210000,2025-12-09 17:58:49+00:00,210.0,68.25,66.65,67.95,1.0299988,1.5322802,6.0,162,1.171879140625,True,REGULAR,USD
2025-12-12,call,AAPL251212C00215000,2025-12-09 16:05:24+00:00,215.0,62.8,61.6,62.95,-0.24000168,-0.3807133,3.0,20,1.05078599609375,True,REGULAR,USD
2025-12-12,call,AAPL251212C00220000,2025-12-08 18:51:01+00:00,220.0,56.65,56.65,57.9,0.0,0.0,1.0,144,0.9648441015625,True,REGULAR,USD
2025-12-12,call,AAPL251212C00225000,2025-12-08 19:09:14+00:00,225.0,51.83,51.85,52.55,0.0,0.0,131.0,267,0.73437765625,True,REGULAR,USD
2025-12-12,call,AAPL251212C00227500,2025-12-05 20:32:09+00:00,227.5,51.42,48.2,51.1,0.0,0.0,18.0,20,1.378421076660156,True,REGULAR,USD
2025-12-12,call,AAPL251212C00230000,2025-12-09 15:19:22+00:00,230.0,47.52,46.9,47.45,-0.11999893,-0.25188693,3.0,171,0.9355475195312499,True,REGULAR,USD
2025-12-12,call,AAPL251212C00232500,2025-12-08 17:03:19+00:00,232.5,45.13,43.2,46.15,0.27000046,0.6018735,1.0,810,1.2714880175781247,True,REGULAR,USD
2025-12-12,call,AAPL251212C00235000,2025-12-09 20:48:28+00:00,235.0,43.08,41.65,42.95,0.38000107,0.8899322,16.0,358,0.7421900781249999,True,REGULAR,USD
2025-12-12,call,AAPL251212C00240000,2025-12-09 19:52:47+00:00,240.0,38.35,37.1,37.45,1.1499977,3.0913916,11.0,1575,0.6367223828125,True,REGULAR,USD
2025-12-12,call,AAPL251212C00245000,2025-12-09 19:54:05+00:00,245.0,33.01,31.55,32.6,0.86999893,2.706904,10.0,230,0.72070591796875,True,REGULAR,USD
2025-12-12,call,AAPL251212C00247500,2025-12-08 17:18:23+00:00,247.5,30.3,28.3,31.15,0.0,0.0,8.0,105,0.9169930175781251,True,REGULAR,USD
2025-12-12,call,AAPL251212C00250000,2025-12-09 20:51:36+00:00,250.0,28.05,26.95,27.6,1.4499989,5.451123,43.0,1037,0.624027197265625,True,REGULAR,USD
2025-12-12,call,AAPL251212C00252500,2025-12-09 18:43:21+00:00,252.5,25.65,24.15,25.5,0.6399994,2.558974,7.0,169,0.6757844921875001,True,REGULAR,USD
2025-12-12,call,AAPL251212C00255000,2025-12-09 18:03:21+00:00,255.0,23.64,22.0,22.8,0.9899998,4.37086,1477.0,1923,0.57812921875,True,REGULAR,USD
2025-12-12,call,AAPL251212C00257500,2025-12-09 18:40:08+00:00,257.5,20.9,19.05,20.15,1.6199989,8.402484,12.0,74,0.49121602539062503,True,REGULAR,USD
2025-12-12,call,AAPL251212C00260000,2025-12-09 18:44:53+00:00,260.0,18.68,17.15,17.7,0.6800003,3.7777796,15.0,948,0.45264219238281256,True,REGULAR,USD
2025-12-12,call,AAPL251212C00262500,2025-12-09 17:02:21+00:00,262.5,15.8,14.75,15.45,1.6000004,11.267608,2.0,106,0.4480035668945312,True,REGULAR,USD
2025-12-12,call,AAPL251212C00265000,2025-12-09 20:58:00+00:00,265.0,12.45,12.25,12.65,-0.31000042,-2.4294703,49.0,1653,0.33887379882812496,True,REGULAR,USD
2025-12-12,call,AAPL251212C00267500,2025-12-09 20:52:52+00:00,267.5,10.22,9.95,10.2,-0.42999935,-4.037553,141.0,2485,0.29492892578124996,True,REGULAR,USD
